cmocndgkq00021ysua6i2mfot|calculation|2|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = x² - 4x + 3","expression":"y = x² - 4x + 3"}|(2, -1)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239466|{"a":1,"b":-4,"c":3}|["vertex_x","vertex_y"]|cmocndgko00011ysu7vt8olfh
cmocndgks00051ysu6vh2zcqx|calculation|3|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = 2x² - 8x + 5","expression":"y = 2x² - 8x + 5"}|(2, -3)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239469|{"a":2,"b":-8,"c":5}|["vertex_x","vertex_y"]|cmocndgko00011ysu7vt8olfh
cmocndgku000a1ysuvodq56vc|calculation|2|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = x² - 4x + 3","expression":"y = x² - 4x + 3"}|(2, -1)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239471|{"a":1,"b":-4,"c":3}|["vertex_x","vertex_y"]|cmocndgku00091ysurjwv423n
cmocndgkv000d1ysu0xa2o9uo|calculation|3|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = 2x² - 8x + 5","expression":"y = 2x² - 8x + 5"}|(2, -3)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239472|{"a":2,"b":-8,"c":5}|["vertex_x","vertex_y"]|cmocndgku00091ysurjwv423n
cmocndgkx000i1ysuj2y5egyh|calculation|2|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = x² - 4x + 3","expression":"y = x² - 4x + 3"}|(2, -1)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239473|{"a":1,"b":-4,"c":3}|["vertex_x","vertex_y"]|cmocndgkw000h1ysurv2i0z7v
cmocndgky000l1ysu79joyrmf|calculation|3|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = 2x² - 8x + 5","expression":"y = 2x² - 8x + 5"}|(2, -3)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239474|{"a":2,"b":-8,"c":5}|["vertex_x","vertex_y"]|cmocndgkw000h1ysurv2i0z7v
cmocndgkz000q1ysu13n08jqu|calculation|2|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = x² - 4x + 3","expression":"y = x² - 4x + 3"}|(2, -1)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239476|{"a":1,"b":-4,"c":3}|["vertex_x","vertex_y"]|cmocndgkz000p1ysurbj2kstm
cmocndgl0000t1ysu444g7f0i|calculation|3|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = 2x² - 8x + 5","expression":"y = 2x² - 8x + 5"}|(2, -3)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239477|{"a":2,"b":-8,"c":5}|["vertex_x","vertex_y"]|cmocndgkz000p1ysurbj2kstm
cmocndgl2000y1ysuani9xrmc|calculation|2|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = x² - 4x + 3","expression":"y = x² - 4x + 3"}|(2, -1)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239478|{"a":1,"b":-4,"c":3}|["vertex_x","vertex_y"]|cmocndgl1000x1ysun0lyc1yc
cmocndgl200111ysuftdokz3x|calculation|3|{"title":"求二次函数顶点坐标","description":"求抛物线的顶点坐标","context":"y = 2x² - 8x + 5","expression":"y = 2x² - 8x + 5"}|(2, -3)|顶点横坐标 x = -b/(2a)|["二次函数"]|cmobpks4u00011ydzjdzzpng6|0|1777019239479|{"a":2,"b":-8,"c":5}|["vertex_x","vertex_y"]|cmocndgl1000x1ysun0lyc1yc
